Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram (GB);Memory;Gpu;OpSys;Weight;Price_euros;Total Sales per Day (euros)
Dell;Inspiron 5370;Ultrabook;13,3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256GB SSD;AMD Radeon 530;Windows 10;1,4;818,35;3273,4
HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1,63;1084;3252
HP;ProBook 450;Notebook;15,6;1366x768;Intel Core i3 6100U 2.3GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2,07;650;3250
Toshiba;Satellite Pro;Notebook;15,6;1366x768;Intel Core i7 6500U 2.5GHz;8;500GB HDD;Nvidia GeForce 930M;Windows 10;2,2;812;3248
Dell;XPS 13;Ultrabook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,29;1624;3248
HP;Probook 470;Notebook;17,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 930MX;Windows 10;2,63;1080;3240
Dell;Latitude 5590;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;16;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1,88;1607,96;3215,92
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13,9;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,4;1599;3198
Dell;XPS 13;Ultrabook;13,3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i5 8250U 1.6GHz;8;128GB SSD;Intel UHD Graphics 620;Windows 10;1,21;1599;3198
MSI;GE72VR 6RF;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,7;1599;3198
HP;Elitebook 820;Netbook;12,5;1366x768;Intel Core i5 6200U 2.3GHz;4;128GB SSD;Intel HD Graphics 520;Windows 7;2,4;1599;3198
Dell;Inspiron 5579;2 in 1 Convertible;15,6;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;2,67;799;3196
MSI;GE72VR Apache;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,7;1598;3196
Lenovo;Yoga 500-14ISK;2 in 1 Convertible;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1,8;638;3190
Toshiba;ЛОЖЬ;Ultrabook;13,3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,2;1590;3180
HP;ProBook 640;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Windows 10;1,95;1060;3180
Lenovo;ThinkPad L570;Notebook;15,6;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Windows 10;2,38;1055;3165
Dell;XPS 13;Ultrabook;13,3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,2;1579;3158
HP;EliteBook 820;Ultrabook;12,5;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;1,26;1579;3158
HP;EliteBook 850;Notebook;15,6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;1,88;1579;3158
Lenovo;Legion Y520-15IKBN;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,5;1048;3144
HP;ZBook 15;Workstation;15,6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;256GB SSD;Nvidia Quadro M1000M;Windows 7;2,59;1561;3122
HP;Elitebook 820;Ultrabook;12,5;1366x768;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;1,26;1559;3118
HP;Elitebook Folio;Ultrabook;12,5;4K Ultra HD / Touchscreen 3840x2160;Intel Core M 6Y75 1.2GHz;8;240GB SSD;Intel HD Graphics 515;Windows 10;1,09;3100;3100
Dell;Inspiron 7773;Notebook;17,3;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Nvidia GeForce 150MX;Windows 10;2,77;1549;3098
Asus;Rog Strix;Gaming;17,3;Full HD 1920x1080;AMD Ryzen 1700 3GHz;16;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3,2;1549;3098
MSI;GV62 7RD-1686NL;Gaming;15,6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2,2;1027,74;3083,22
Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,6;770;3080
HP;EliteBook 820;Ultrabook;12,5;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Windows 10;1,26;1539;3078
Dell;Inspiron 3576;Notebook;15,6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 520;Windows 10;2,13;767,8;3071,2
HP;ProBook 650;Workstation;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;2,31;1534;3068
Toshiba;Tecra A40-C-1E5;Notebook;14;IPS Panel 1366x768;Intel Core i5 6200U 2.3GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1,75;1020;3060
Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,9;1529;3058
Apple;MacBook Pro;Ultrabook;13,3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;256GB SSD;Intel Iris Plus Graphics 640;macOS;1,37;1518,55;3037,1
HP;EliteBook 1040;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;1,43;1513;3026
Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core i5 1.3GHz;8;512GB SSD;Intel HD Graphics 615;macOS;0,92;1510;3020
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;3012,77;3012,77
Asus;FX753VE-GC155T (i7-7700HQ/16GB/1TB;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX1050 Ti;Windows 10;3;1504;3008
HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;1,54;1000;3000
Xiaomi;Mi Notebook;Ultrabook;13,3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce MX150;No OS;1,3;999,9;2999,7
Asus;Rog G701VIK-BA060T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16;256GB SSD;Nvidia GeForce GTX 1080;Windows 10;3,6;2999;2999
Lenovo;Yoga 730;2 in 1 Convertible;13,3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1,19;1499;2998
Lenovo;ThinkPad T470s;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,32;1499;2998
Samsung;Notebook 9;Ultrabook;13,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;0,81;1499;2998
Lenovo;ThinkPad 13;Notebook;13,3;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,4;1499;2998
Lenovo;Yoga 900-13ISK;2 in 1 Convertible;13,3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1,3;1499;2998
Lenovo;IdeaPad 720S-13IKB;Notebook;13,3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,1;999;2997
Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2,5;999;2997
Dell;Inspiron 7577;Gaming;15,6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,65;999;2997
HP;Omen 17-AN010nv;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3,78;1498;2996
Dell;Inspiron 7567;Gaming;15,6;4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,62;1498;2996
HP;ZBook 15u;Workstation;15,6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;AMD FirePro W4190M;Windows 7;1,9;1495;2990
Lenovo;Thinkpad T460;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,7;1488,99;2977,98
Microsoft;Surface Laptop;Ultrabook;13,5;Touchscreen 2256x1504;Intel Core M m3-7Y30 2.2GHz;4;128GB SSD;Intel HD Graphics 615;Windows 10 S;1,252;989;2967
HP;Elitebook 820;Netbook;12,5;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1,26;1483;2966
Dell;Inspiron 5570;Notebook;15,6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2,2;985;2955
MSI;GP62MVR 6RF;Gaming;15,6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,2;1476,11;2952,22
Toshiba;Portege X30-D-10V;Notebook;13,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,05;1475;2950
HP;EliteBook 1040;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;1,43;1469;2938
Dell;Inspiron 5570;Notebook;15,6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2,36;979;2937
HP;ProBook 450;Notebook;15,6;1366x768;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;2,04;979;2937
Asus;ZenBook UX530UQ-PRO;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Nvidia GeForce 940MX;Windows 10;1,63;1468;2936
HP;EliteBook 840;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;512GB SSD;Intel HD Graphics 520;Windows 10;1,54;1468;2936
Asus;ZenBook UX305CA-UBM1;Ultrabook;13,3;IPS Panel Full HD 1920x1080;Intel Core M 6Y30 0.9GHz;8;512GB SSD;Intel HD Graphics 515;Windows 10;1,2;729;2916
Dell;XPS 13;Ultrabook;13,3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,2;1449,9;2899,8
HP;ZBook 17;Workstation;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;1TB HDD;AMD FirePro W6150M;Windows 7;3;2899;2899
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,2;1449;2898
Dell;XPS 13;Ultrabook;13,3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,2;1449;2898
HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;1,43;1449;2898
Dell;Precision 7720;Workstation;17,3;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16;256GB SSD;Nvidia Quadro M1200;Windows 10;3,42;2884,86;2884,86
Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;Notebook;15,6;1366x768;Intel Core i7 6500U 2.5GHz;4;500GB HDD;Nvidia GeForce 920M;Windows 10;2,2;720,32;2881,28
Lenovo;Yoga 510-15IKB;2 in 1 Convertible;15,6;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;AMD Radeon R7 M460;Windows 10;2,08;959;2877
Lenovo;ThinkPad X270;Ultrabook;12,5;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,36;1429;2858
Dell;Latitude 7480;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,36;1427;2854
Acer;Aspire A517-51G;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce MX150;Windows 10;3;951;2853
Toshiba;Tecra A50-C-218;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;256GB SSD;Nvidia GeForce 930M;Windows 10;2,4;1425;2850
Lenovo;ThinkPad 13;Notebook;13,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,44;949;2847
Apple;MacBook Pro;Ultrabook;13,3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.0GHz;8;256GB SSD;Intel Iris Graphics 540;macOS;1,37;1419;2838
Acer;A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce;Gaming;15,6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Linux;2,4;709;2836
Asus;Zenbook UX410UA-GV027T;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2;945;2835
Dell;Latitude 5580;Notebook;15,6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;128GB SSD;Intel HD Graphics 620;Windows 10;1,9;945;2835
Toshiba;Satellite Pro;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2;943;2829
Dell;Latitude E5270;Ultrabook;12,5;1366x768;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;1,5;1413,1;2826,2
Asus;ROG GL703VD-GC028T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,9;1407;2814
Dell;Alienware 15;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3,49;2813,75;2813,75
Dell;Latitude 5580;Notebook;15,6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;500GB HDD;Intel HD Graphics 620;Windows 10;1,9;935;2805
Toshiba;Portege X30-D-10L;Ultrabook;13,3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;32;512GB SSD;Intel HD Graphics 620;Windows 10;1,05;2799;2799
Lenovo;ThinkPad Yoga;2 in 1 Convertible;13,3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,37;1399;2798
Dell;XPS 13;Ultrabook;13,3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,23;1399;2798
Lenovo;Legion Y720-15IKB;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3,2;1399;2798
HP;Spectre X360;Ultrabook;13,3;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,32;1399;2798
Toshiba;Tecra Z50-C-144;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;2,2;1399;2798
HP;Omen 17-W006na;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 965M;Windows 10;2,75;1399;2798
Dell;Inspiron 5770;Notebook;17,3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2,8;1396;2792
HP;EliteBook 850;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1,84;1389;2778
HP;EliteBook 820;Netbook;12,5;1366x768;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,26;1389;2778
Acer;Aspire E5-576G;Notebook;15,6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Nvidia GeForce 940MX;Windows 10;2,23;691;2764
Dell;XPS 13;Ultrabook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7560U 2.4GHz;8;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1,23;1379;2758
HP;Omen 17-W295;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3,35;1379;2758
Dell;Inspiron 5570;Notebook;15,6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 530;Windows 10;2,2;919;2757
Dell;Latitude 5580;Notebook;15,6;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,9;1377;2754
HP;ProBook 470;Notebook;17,3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;Nvidia GeForce 930MX;Windows 10;2,5;914;2742
HP;ProBook 470;Notebook;17,3;1600x900;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Nvidia GeForce 930MX;Windows 10;2,63;910;2730
Asus;ZenBook Flip;2 in 1 Convertible;13,3;Touchscreen / Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,1;1358;2716
HP;ProBook 450;Notebook;15,6;IPS Panel Full HD 1366x768;Intel Core i7 8550U 1.8GHz;8;1TB HDD;Intel UHD Graphics 620;Windows 10;2,1;902;2706
Acer;TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10);Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,56;902;2706
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;2699;2699
MSI;Leopard GP72M;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,7;1349;2698
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;13,9;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,38;1349;2698
Dell;Inspiron 7567;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,6;1349;2698
HP;EliteBook 820;Ultrabook;12,5;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,26;1349;2698
Lenovo;IdeaPad Y700-15ISK;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2,6;899;2697
Lenovo;Ideapad 520-15IKBR;Notebook;15,6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;2,17;898,9;2696,7
Apple;MacBook Pro;Ultrabook;13,3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;128GB SSD;Intel Iris Plus Graphics 640;macOS;1,37;1339,69;2679,38
Asus;FX502VM-DM560T (i7-7700HQ/8GB/1TB;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX1060;Windows 10;2,24;1339;2678
Asus;Chromebook Flip;2 in 1 Convertible;12,5;Full HD / Touchscreen 1920x1080;Intel Core M M3-6Y30 0.9GHz;4;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1,2;669;2676
Asus;F756UX-T4201D (i7-7500U/8GB/128GB;Notebook;17,3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;No OS;2,69;889;2667
Dell;Inspiron 5378;2 in 1 Convertible;13,3;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,68;889;2667
Lenovo;IdeaPad Y910-17ISK;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,6;2663;2663
Dell;Alienware 15;Gaming;15,6;4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;3,21;1329;2658
HP;Pavilion Power;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,21;1327;2654
Lenovo;ThinkPad 13;Notebook;13,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1,44;881;2643
Lenovo;IdeaPad Y700-15ISK;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;512GB SSD;Nvidia GeForce GTX 960;Windows 10;3,31;1305;2610
Lenovo;Yoga 500-15ISK;2 in 1 Convertible;15,6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 6200U 2.3GHz;4;256GB SSD;Intel HD Graphics 520;Windows 10;2,1;867;2601
Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M 1.1GHz;8;256GB Flash Storage;Intel HD Graphics 515;Mac OS X;0,92;1300;2600
Razer;Blade Pro;Gaming;14;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;1,95;2599;2599
Asus;Zenbook UX510UW-FI095T;Notebook;15,6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7500U 2.7GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2;1299;2598
Dell;Inspiron 7378;2 in 1 Convertible;13,3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;256GB SSD;Intel HD Graphics 620;Windows 10;1,6;1299;2598
HP;EliteBook 850;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;AMD Radeon R7 M365X;Windows 10;1,84;1296,99;2593,98
Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,42;2590;2590
MSI;GP62 7RDX;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2,4;1294;2588
HP;Elitebook 840;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,48;1292;2584
Toshiba;Satellite Pro;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;500GB HDD;Intel HD Graphics 620;Windows 10;2;860;2580
Dell;Vostro 5468;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,6;859;2577
Lenovo;Thinkpad E470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 920MX;Windows 10;1,87;857,07;2571,21
Acer;Aspire A517-51G;Notebook;17,3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Nvidia GeForce MX150;Windows 10;3;854;2562
HP;ProBook 470;Notebook;17,3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1TB HDD;Nvidia GeForce 930MX;Windows 10;2,63;1280;2560
Asus;ZenBook UX310UA-WB71;Ultrabook;13,3;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,45;1280;2560
Asus;G701VO-IH74K (i7-6820HK/32GB/2x;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32;256GB SSD +  256GB SSD;Nvidia GeForce GTX 980M;Windows 10;3,58;1279;2558
Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M 1.2GHz;8;512GB Flash Storage;Intel HD Graphics 515;Mac OS X;0,92;1279;2558
Asus;Pro P2540UA-XO0192R;Notebook;15,6;1366x768;Intel Core i7 7500U 2.7GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;2,37;849,9;2549,7
